DRUG_NAME,CELL_LINE_NAME
Cediranib,DMS-79
Palbociclib,CAL-62
Trametinib,MSTO-211H
Sapitinib,WM278
Dasatinib,Mo-T
Tanespimycin,Ca9-22
Ipatasertib,NCI-H2347
Paclitaxel,RERF-LC-KJ
MK-2206,HTC-C3
Taselisib,SK-MM-2
Dasatinib,HCC-15
Pictilisib,TE-10
Afatinib,U-87-MG
Afatinib,MDST8
Bromosporine,NCI-H2023
Sapitinib,U-266
Trametinib,KELLY
Irinotecan,CAS-1
Bortezomib,NCI-H661
Bosutinib,LB373-MEL-D
Afatinib,GI-1
Trametinib,JIMT-1
Docetaxel,JHH-4
Lapatinib,SW780
Tanespimycin,KYSE-50
Lapatinib,MDA-MB-157
Ribociclib,TE-12
Irinotecan,SK-N-FI
Ribociclib,JHH-1
Vorinostat,BT-20
Ipatasertib,CP66-MEL
Refametinib,ES1
Vinorelbine,PANC-08-13
Venetoclax,SN12C
Taselisib,A253
Docetaxel,HuCCT1
Palbociclib,NCI-H841
Dabrafenib,NCI-H1341
Pictilisib,TK10
Osimertinib,KNS-62
Bortezomib,SKG-IIIa
Ribociclib,NCI-H1436
Lapatinib,NCI-H2342
Vinorelbine,ES4
Ipatasertib,TE-10
Paclitaxel,SKG-IIIa
Lapatinib,GAMG
Selumetinib,NCI-H2023
Bortezomib,NCI-H2172
Osimertinib,DOV13
Dihydrorotenone,NCI-H441
Dabrafenib,KYSE-140
Palbociclib,TE-4
MK-2206,OAW-28
Osimertinib,OCI-LY-19
Trametinib,KYAE-1
Methotrexate,UACC-62
Teniposide,NCI-H1944
Motesanib,SAT
Selumetinib,RH-1
Refametinib,EW-22
Savolitinib,SJSA-1
Methotrexate,HT55
Palbociclib,SK-MG-1
Osimertinib,SW156
Ipatasertib,NB5
Docetaxel,HSC-4
Trametinib,LOU-NH91
Afatinib,YKG-1
Vorinostat,T98G
Ribociclib,ChaGo-K-1
Docetaxel,HuO-3N1
Vorinostat,D-392MG
Dasatinib,G-MEL
Cediranib,OAW-28
Taselisib,NCI-H441
Bosutinib,NCI-H226
Ipatasertib,CAKI-1
Buparlisib,NCI-H1435
Sapitinib,ECC10
Ipatasertib,SW962
Ipatasertib,SKG-IIIa
Taselisib,VA-ES-BJ
Docetaxel,A704
Trametinib,KE-37
Dabrafenib,NCI-H835
Sapitinib,LOXIMVI
Afatinib,GAK_cell
Sapitinib,SU-DHL-1
Methotrexate,CHSA0011
Motesanib,KYSE-50
Talazoparib,ST486
Tanespimycin,NCI-H2291
Lapatinib,KURAMOCHI
Selumetinib,OVK-18
Savolitinib,COR-L105
Trametinib,EW-22
Afatinib,NCI-H250
Afatinib,LS-1034
Vorinostat,KP-1N
Irinotecan,SN12C
Vinorelbine,HeLa
Trametinib,NCI-H441
MK-2206,A101D
Afatinib,DK-MG
Vorinostat,SNU-423
Sapitinib,LS-1034
Ibrutinib,CAL-51
Vinorelbine,KYSE-50
Bortezomib,NCI-H1435
Bosutinib,EW-22
Docetaxel,OVCA420
Lapatinib,MDST8
Dabrafenib,SNU-C1
Taselisib,KP-N-YN
Lapatinib,KYSE-70
Ipatasertib,SU-DHL-1
Refametinib,EW-7
Palbociclib,no-10
Savolitinib,U031
Docetaxel,KYSE-410
Venetoclax,NCI-H2023
Osimertinib,TC-71
Docetaxel,SK-MEL-5
Dabrafenib,ECC12
Lapatinib,CHSA0011
Palbociclib,CHSA0011
Vinorelbine,NCI-H1341
Ibrutinib,SW1463
Venetoclax,YH-13
Vinorelbine,SKG-IIIa
Cediranib,NCI-H250
Bosutinib,D-392MG
Dabrafenib,OVCA420
Osimertinib,TE-8
Bromosporine,SW1463
Osimertinib,KYSE-70
Teniposide,OACp4C
Vorinostat,TYK-nu
Savolitinib,UWB1.289
Motesanib,EW-3
Ipatasertib,CCK-81
Dabrafenib,MG-63
Trametinib,HLE
Venetoclax,NCI-H28
Taselisib,LCLC-97TM1
Selumetinib,CAL-62
Docetaxel,RCM-1
Tretinoin,CTB-1
Selumetinib,SN12C
Taselisib,KURAMOCHI
Ipatasertib,SW1417
Cediranib,C32
MK-2206,PANC-10-05
Dasatinib,TE-5
Ribociclib,ESO51
Pictilisib,DSH1
Osimertinib,NCI-H526
Tanespimycin,HeLa
Savolitinib,SNU-387
Osimertinib,KP-3
Docetaxel,SW1271
Bosutinib,PANC-04-03
Dabrafenib,BB49-HNC
Dabrafenib,NCI-H1563
Pictilisib,LNZTA3WT4
Trametinib,NAMALWA
Paclitaxel,BICR31
Dasatinib,SNU-398
Ribociclib,23132-87
Vinorelbine,NCI-H2196
Trametinib,ES1
Trametinib,OVCAR-4
Irinotecan,SW156
Sinularin,U-266
Ibrutinib,KP-2
Ipatasertib,WM35
Dabrafenib,SNU-398
Trametinib,BC-1
Tanespimycin,CADO-ES1
Ipatasertib,FADU
Irinotecan,U-266
Ipatasertib,KP-N-YN
Dabrafenib,CHP-134
Talazoparib,LCLC-97TM1
Lapatinib,A673
Paclitaxel,769-P
Selumetinib,NCI-H1648
Selumetinib,LB996-RCC
Selumetinib,YKG-1
Selumetinib,DEL
Vorinostat,CAL-33
Methotrexate,JHU-011
Irinotecan,EVSA-T
Motesanib,LS-513
Tanespimycin,MHH-NB-11
Bortezomib,HuO-3N1
Bortezomib,RF-48
Tanespimycin,U031
Teniposide,JIMT-1
Selumetinib,TC-71
Selumetinib,EW-11
Lapatinib,PL-21
Teniposide,NCI-H28
Selumetinib,IST-SL2
Ipatasertib,MSTO-211H
Dasatinib,PL-21
Methotrexate,NCI-H2196
Ibrutinib,BEN
Palbociclib,SW626
Vorinostat,NCI-H3122
Selumetinib,GAMG
Selumetinib,KURAMOCHI
Cediranib,SW620
Dasatinib,BT-20
Osimertinib,TT
Dasatinib,SK-N-FI
Taselisib,NCI-H2342
Bromosporine,KP-N-YN
Osimertinib,KARPAS-45
Cediranib,EN
Pictilisib,BV-173
Paclitaxel,OVCAR-4
Docetaxel,CAKI-1
Vinorelbine,COR-L95
Tanespimycin,A673
Selumetinib,JiyoyeP-2003
Ribociclib,KNS-81-FD
Ibrutinib,NCI-H1435
Motesanib,NCI-H1755
Ipatasertib,NCI-H1436
Dihydrorotenone,SBC-3
Docetaxel,SNU-61
Ibrutinib,EW-16
Methotrexate,CTB-1
Vorinostat,MPP-89
Vorinostat,DoTc2-4510
Dabrafenib,LC-1-sq
Osimertinib,TE-5
Refametinib,KYSE-450
Irinotecan,SNU-C1
Afatinib,COR-L321
Dabrafenib,SKN
Dihydrorotenone,JVM-3
Docetaxel,SW626
Pictilisib,KNS-62
Ibrutinib,SU8686
Dihydrorotenone,KYSE-410
Dihydrorotenone,PA-TU-8902
Venetoclax,NCI-H1755
Tanespimycin,TK10
Dabrafenib,HCC2998
Tanespimycin,MS-1
Ipatasertib,NB10
Vorinostat,SN12C
Tanespimycin,SU8686
Palbociclib,Hey
Dabrafenib,VA-ES-BJ
Bortezomib,MFH-ino
Dasatinib,LU-135
Taselisib,KP-1N
Ipatasertib,TK10
Irinotecan,KNS-81-FD
Dihydrorotenone,NALM-6
Refametinib,KP-3
Trametinib,DMS-114
Talazoparib,TK10
Talazoparib,SNU-423
Sapitinib,LB373-MEL-D
Afatinib,NCI-H1688
Refametinib,HLE
Motesanib,BT-483
Motesanib,TE-8
Tanespimycin,OV-56
Venetoclax,KP-1N
Dabrafenib,A4-Fuk
